"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","蓝牙电话 - 搜索与设备管理器","0","媒体","1","0","蓝牙电话 - 搜索与设备管理器","0"
"0","媒体 - AM收音机 - 下一电台","0","收音机","1","0","媒体 - AM收音机 - 下一电台","0"
"0","能源/驾驶 - 驾驶ECO/MySense声音","1","车辆设置","0","0","能源/驾驶 - 驾驶ECO/MySense声音","0"
"0","设置WiFi - 开关行为","0","WiFi热点","1","0","设置WiFi - 开关行为","0"
"0","媒体 - FM收音机 - 调谐频率","1","收音机","0","0","媒体 - FM收音机 - 调谐频率","0"
"0","媒体AM收音机 - 暂停与恢复","1","收音机","0","0","媒体AM收音机 - 暂停与恢复","0"
"0","能源/驾驶 - 我的驾驶","0","车辆设置","1","0","能源/驾驶 - 我的驾驶","0"
"0","系统UI - 音频小部件显示与移除","0","桌面启动器","1","0","系统UI - 音频小部件显示与移除","0"
"0","系统UI - 触发谷歌助手","0","桌面启动器","1","0","系统UI - 触发谷歌助手","0"
"0","系统UI - 日期和时间小部件显示与生命周期","0","桌面启动器","1","0","系统UI - 日期和时间小部件显示与生命周期","0"
"0","系统UI - 点击日期和时间小部件进入设置","1","桌面启动器","0","0","系统UI - 点击日期和时间小部件进入设置","0"
"0","系统UI - 电话小部件显示与移除","0","桌面启动器","1","0","系统UI - 电话小部件显示与移除","0"
"0","能源/驾驶 - 驾驶辅助 - 舒适","0","车辆设置","1","0","能源/驾驶 - 驾驶辅助 - 舒适","0"
"0","系统UI - 地图搜索交互","1","桌面启动器","0","0","系统UI - 地图搜索交互","0"
"0","蓝牙电话 - 联系人、最近通话与拨号盘同步","1","媒体","0","0","蓝牙电话 - 联系人、最近通话与拨号盘同步","0"
"0","系统UI - 导航和车辆小部件显示","1","桌面启动器","0","0","系统UI - 导航和车辆小部件显示","0"
"0","车辆设置","0","车辆设置","1","0","车辆设置","0"
"0","系统UI - 点击电话小部件进入设置","0","桌面启动器","1","0","系统UI - 点击电话小部件进入设置","0"
"0","系统UI - 谷歌助手小部件生命周期","1","桌面启动器","0","0","系统UI - 谷歌助手小部件生命周期","0"
"0","系统UI - 燃油车首页","0","桌面启动器","1","0","系统UI - 燃油车首页","0"
"0","车辆 - 座椅","0","车辆设置","1","0","车辆 - 座椅","0"
"0","媒体FM收音机 - 收藏管理与同步","1","收音机","0","0","媒体FM收音机 - 收藏管理与同步","0"
"0","媒体AM收音机 - 收藏管理与同步","1","收音机","0","0","媒体AM收音机 - 收藏管理与同步","0"
"0","设置WiFi - 界面与默认状态","0","WiFi热点","1","0","设置WiFi - 界面与默认状态","0"
"0","多媒体 - AM收音机 - UI显示检查","0","收音机","1","0","多媒体 - AM收音机 - UI显示检查","0"
"0","媒体FM收音机 - 暂停与恢复","1","收音机","0","0","媒体FM收音机 - 暂停与恢复","0"
"0","多媒体 - AM收音机 - 调谐频率","0","收音机","1","0","多媒体 - AM收音机 - 调谐频率","0"
"0","媒体 - FM收音机 - 界面显示检查","1","收音机","0","0","媒体 - FM收音机 - 界面显示检查","0"
"0","系统UI - 左侧导航","1","桌面启动器","0","0","系统UI - 左侧导航","0"
"0","设置 - Wi-Fi - Wi-Fi偏好设置","0","车辆设置","1","0","设置 - Wi-Fi - Wi-Fi偏好设置","0"
"0","蓝牙连接 - 断开与忘记流程","1","车辆设置","0","0","蓝牙连接 - 断开与忘记流程","0"
"0","蓝牙 - 可发现性开关行为","0","车辆设置","1","0","蓝牙 - 可发现性开关行为","0"
"0","系统UI - 点击音频小部件进入设置","0","桌面启动器","1","0","系统UI - 点击音频小部件进入设置","0"
"0","蓝牙连接 - 扫描、配对、配置文件与取消流程","1","车辆设置","0","0","蓝牙连接 - 扫描、配对、配置文件与取消流程","0"
"0","蓝牙电话 - 连接与基础界面","1","媒体","0","0","蓝牙电话 - 连接与基础界面","0"
"0","设置 - 语言和关于","1","车辆设置","0","0","设置 - 语言和关于","0"
