"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"前置: 步骤0：adb正常连接，点击左侧导航栏进入“Music”页面，点击“Radio”页面进入“Radio” | 步骤: ['步骤0：点击屏幕右边星星图案，将电台添加到收藏。', '步骤1：检查”List“和” Favourites“列表和状态同步。', '步骤2：点击”List“屏幕右边星星图案从收藏中移除该电台。'] | 预期: 步骤0：电台添加到收藏，星星图标变为白色，; 电台播放页面白色星标图标在右下角显示; 步骤1：点击” Favourites“列表，电台列在收藏中。点击""List""列表，电台添加到收藏，屏幕右边星星图标变为白色; 步骤2：屏幕右侧星星图标变回未选中状态，播放页面星星图标变为未选中状态，“Favourites”列表中的电台移除。","0","媒体FM收音机 - 收藏管理与同步","tests_scripts.收音机","2026-09-14","failed","2026-09-14","TestSmokeTest56","test_smoke_test_56","",""
"前置: 步骤0：adb正常连接，点击左侧导航栏进入“Music”页面，点击“AM Radio”进入页面后点击右下角频率，进入播放界面; 步骤1：”AM Radio“正在播放 | 步骤: ['步骤0;点击中心“播放/暂停”按钮，暂停”AM Radio“', '步骤1：点击中心“播放/暂停”按钮，播放”AM Radio“'] | 预期: 步骤0：音频输出立即停止; 按钮显示""暂停""状态（或变为播放图标）; 步骤1：音频从暂停的电台恢复播放; 按钮显示""播放""状态（或变为暂停图标）","11605","媒体AM收音机 - 暂停与恢复","tests_scripts.收音机","2026-09-14","failed","2026-09-14","TestSmokeTest49","test_smoke_test_49","",""
"前置: 步骤0：开机，adb正常连接; 步骤1：左边到导航栏点击Application图标 > 在应用界面点击“Setting”>点击“Network and internet” | 步骤: ['步骤0：检查WiFi界面。', '步骤1：检查默认界面状态。'] | 预期: 步骤0：步骤1.页面显示''Connectivity'' ""Wi-Fi"", ""Join other network"",; Wi-Fi preferences"", ""Hotspot"", and ""App data usage""，默认WiFi状态显示关闭; 步骤1：默认WiFi状态显示""关闭""","23735","设置WiFi - 界面与默认状态","tests_scripts.WiFi热点","2026-09-15","passed","2026-09-15","TestSmokeTest85","test_smoke_test_85","",""
"前置: 步骤0：开机; 步骤1：手机已通过蓝牙连接并已授权权限 | 步骤: ['步骤0：打开电话页面。', '步骤1：检查Recent""，“Contacts”，”Favourites“，“Dial Pad”的同步'] | 预期: 步骤0：电话已连接并同步; 正确显示最近通话列表; 步骤1：电话已连接并同步; 显示联系人标签页; 与手机一致; 电话已连接并同步; 显示收藏标签页; 检查收藏列表","0","蓝牙电话 - 联系人、最近通话与拨号盘同步","tests_scripts.媒体","2026-09-15","failed","2026-09-15","TestSmokeTest21","test_smoke_test_21","",""
"前置: 步骤0：车机正常启动，处于主页面; 步骤1：打开左侧导航栏车辆>设置 > 系统 | 步骤: ['步骤0：打开语言和输入法', '步骤1：点击语言'] | 预期: 步骤0：页面显示""语言和输入法""、""单位""、""存储空间""、""关于""、""法律信息""、""重置选项""""Android Auto""显示正确。; 步骤1:步骤 1：显示:建议"",""简体中文（中国）""及所有语言列表:; - Čeština; - Dansk; - Deutsch; - Eesti; - English; - Español; - Français; - Hrvatski; - Italiano; - Latviešu; - Lietuvių; - Magyar; - Melayu; - Nederlands; - Polski; - Português; - Română; - Shqip; - Slovenčina; - Slovenščina; - Suomi; - Svenska; - Tiếng Việt; - Türkçe; - Ελληνικά; - Български; - Русский; - Српски (ћирилица); - Українська; - עברית; - العربية; - فارسی; - हिन्दी; - ไทย; - 한국어; - 日本語; - 简体中文; - 繁體中文; System language change to Chinese; System language change to Français","222","设置 - 语言和关于","tests_scripts.车辆设置","2026-09-15","failed","2026-09-15","TestSmokeTest37","test_smoke_test_37","",""
"前置: 步骤0：adb正常连接，点击左侧导航栏进入“Music”页面，点击“AM Radio”进入页面后点击右下角频率，进入播放界面; 步骤1：”AM Radio“正在播放 | 步骤: ['步骤1：点击播放页面上的下一个按钮'] | 预期: 步骤1：电台应切换到下一电台（这个验证需要等待一方分钟）","62208","媒体 - AM收音机 - 下一电台","tests_scripts.收音机","2026-09-14","passed","2026-09-14","TestSmokeTest50","test_smoke_test_50","",""
"前置: 步骤0：车机正常启动，处于主页面; 步骤1：""电话""小部件已添加到首页 | 步骤: ['步骤1：点击首页上的""电话""小部件'] | 预期: 步骤1：系统进入""电话""设置页面","2752","系统UI - 点击电话小部件进入设置","tests_scripts.桌面启动器","2026-09-15","passed","2026-09-15","TestSmokeTest15","test_smoke_test_15","",""
"前置: 步骤0：adb正常连接,处于主页面; 步骤1：点击左侧导航栏“Vehicle ”>""Settings"" > “Bluetooth”启用“Bluetooth” | 步骤: ['步骤0：点击“Pair new device”扫描新设备。', '步骤1：点击“62888b2b“开始配对再次出现弹窗后点击“pair“进行配对，同时被连接的手机出现弹窗点击确认，并授权所有权限，配对后验证可用设备配置文件。', '步骤2：点击“Bluetooth”下的“Paired devices”下的已配对设备名称,检查页面。', '步骤3：在“Pair new device”下点击任何一个设备进行配对，并在车机弹窗出现后点击“Cancel”取消配对尝试。'] | 预期: 步骤0：显示所有可连接的设备名称; 步骤1：设备名称显示在“Bluetooth”下的“Paired devices”列表中; 步骤2：页面转到设备配置文件，有“Disconnect”和“Forget”两个按钮；配置文件列表有“Phone calls”,“Media audio”,“Text Messages”,“Contacts and call history sharing”默认为开启状态; 步骤3：配对过程中止，设备显示在“Pair new device”列表中","0","蓝牙连接 - 扫描、配对、配置文件与取消流程","tests_scripts.车辆设置","2026-09-15","failed","2026-09-15","TestSmokeTest18","test_smoke_test_18","",""
"前置: 步骤0：adb正常连接，点击左侧导航栏进入“Music”页面，点击“Radio”进入页面 | 步骤: ['步骤1：点击87.5 kHz频率按钮', '步骤2：观察播放状态', '步骤3：调谐到不同频率（例如88.7 kHz）'] | 预期: 步骤1：87.5 kHz电台在右下角显示播放状态; 步骤2：播放成功; 步骤3：系统成功调谐并播放新频率","0","媒体 - FM收音机 - 调谐频率","tests_scripts.收音机","2026-09-14","failed","2026-09-14","TestSmokeTest54","test_smoke_test_54","",""
"前置: 步骤0：开机，adb正常连接 | 步骤: ['步骤1：点击左侧栏的 ""Vehicle""', '步骤2：点击""My Driving""', '步骤3：点击""Energy""', '步骤4：点击""Since reset""', '步骤5：点击“""Reset""出现弹窗后再次点击""Reset""'] | 预期: 步骤1：页面显示 ""Drive Mode"", ""My Driving"", ""Driving assistance"", ""Vehicle"", ""Settings""; 步骤2：显示 ""Eco Score"", ""energy consumption value"", and ""Energy"", and ""Since start"", ""Since reset""按钮; 步骤3：系统导航到 Energy Detail页面; 步骤4：右侧显示""Reset""按钮; 步骤5：重置功能生效","16590","能源/驾驶 - 我的驾驶","tests_scripts.车辆设置","2026-09-15","passed","2026-09-15","TestSmokeTest41","test_smoke_test_41","",""
