"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤0：从屏幕右侧向左滑动，打开窗口小部件编辑界面', '步骤1：点击日期和时间小部件将它添加在屏幕中，退出编辑界面并检查', '步骤2：从屏幕右侧向左滑动，打开窗口小部件编辑界面，将日期和时间小部件更换成其他小部件，退出编辑界面并检查'] | 预期: 步骤1：“日期和时间”小部件立即添加到首页并显示数据; 步骤2：“日期和时间”小部件从主页移除","11079","系统UI - 日期和时间小部件显示与生命周期","tests_scripts.桌面启动器","2026-09-11","failed","2026-09-11","TestSmokeTest10","test_smoke_test_10","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤1：点击谷歌地图搜索栏', '步骤2：再次点击搜索栏'] | 预期: 步骤1：出现搜索下拉菜单：左侧显示“最近”“类别”“已保存”; 步骤2：出现屏幕键盘","0","系统UI - 地图搜索交互","tests_scripts.桌面启动器","2026-09-11","failed","2026-09-11","TestSmokeTest4","test_smoke_test_4","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤1：点击左侧导航栏进入车辆页面', '步骤2：点击座椅'] | 预期: 步骤2：座椅页面显示：驾驶位置，文字说明：座椅和驾驶设备，带有保存和调用按钮","4928","车辆 - 座椅","tests_scripts.车辆设置","2026-09-11","passed","2026-09-11","TestSmokeTest46","test_smoke_test_46","",""
"前置: 步骤0：车机正常启动，处于主页面; 步骤1：""日期和时间""小部件已添加到主界面 | 步骤: ['步骤1：点击主界面上的""日期和时间""小部件'] | 预期: 步骤1：系统进入""日期和时间""设置页面","6342","系统UI - 点击日期和时间小部件进入设置","tests_scripts.桌面启动器","2026-09-11","failed","2026-09-11","TestSmokeTest11","test_smoke_test_11","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤1：进入左侧导航栏""车辆"">""设置"">""网络互联网""', '步骤2：滑动到界面底部，点击""Wi-Fi偏好设置""'] | 预期: 步骤2：页面显示""自动开启WIAN""和""Install certificates""","34522","设置 - Wi-Fi - Wi-Fi偏好设置","tests_scripts.车辆设置","2026-09-11","passed","2026-09-11","TestSmokeTest36Row15","test_smoke_test_36_row15","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤0：点击左侧导航栏应用图标；验证目标页面', '步骤1：点击左侧导航栏车辆图标；验证目标页面', '步骤2：点击左侧导航栏音乐图标；验证目标页面', '步骤3：点击左侧导航栏电话图标；验证目标页面'] | 预期: 步骤0：页面跳转到应用页面，显示所有应用：“Play商店”，“Android Auto”，“设备管理器”，“收音机”，“AM收音机”; 步骤1：页面跳转到车辆页面,显示：“Live Data”,“Coaching”,; “Challenges”,“Driver Mode”,“电力”，“座位”，“My Driving”，“驾驶辅助”，“车辆”，“Reno Assistant”,“设置”; 步骤2：页面跳转到音乐源页面，显示“AM收音机”、“蓝牙音频”、“Google新闻”、“收音机”、“USB”,“Android Auto”; 步骤3：页面跳转到电话连接页面，页面显示：要完成通话，请先通过蓝牙将您的手机连接到汽车。带有“连接到蓝牙”按钮","122452","系统UI - 左侧导航","tests_scripts.桌面启动器","2026-09-11","failed","2026-09-11","TestSmokeTest7Row5","test_smoke_test_7_row5","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤0：从屏幕右侧向左滑动，打开窗口小部件编辑界面，将“音频”小部件更换成其他小部件，退出编辑界面并检查', '步骤1：从屏幕右侧向左滑动，打开窗口小部件编辑界面，点击“音频”小部件将它添加在屏幕中，退出编辑界面并检查'] | 预期: 步骤0：“音频”小部件从主页面移除; 步骤1：“音频”小部件添加到主页面","31289","系统UI - 音频小部件显示与移除","tests_scripts.桌面启动器","2026-09-11","passed","2026-09-11","TestSmokeTest12","test_smoke_test_12","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤0：从屏幕右侧向左滑动，打开窗口小部件编辑界面', '步骤1：点击“Goolge助理”小部件将它添加在屏幕中，退出编辑界面并检查', '步骤2：点击首页的“Goolge助理”小部件', '步骤3：从屏幕右侧向左滑动，打开窗口小部件编辑界面，将“Goolge助理”小部件更换成其他小部件，退出编辑界面并检查'] | 预期: 步骤1：“Goolge助理”小部件立即添加到主页面; 步骤2：语音交互焦点（燃油图标和聆听状态）应出现在屏幕底部; 步骤3：“Goolge助理”小部件从主页移除","29836","系统UI - 谷歌助手小部件生命周期","tests_scripts.桌面启动器","2026-09-11","failed","2026-09-11","TestSmokeTest9","test_smoke_test_9","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤0：从屏幕右侧向左滑动，打开窗口小部件编辑界面'] | 预期: 步骤0：右侧出现“编辑窗口部件”窗口，下方显示“Google助理”，“日期和时间”，“GG图”，“Eco Score”“电话”，“”音频，“车辆”选项","1946","系统UI - 窗口小部件编辑","tests_scripts.桌面启动器","2026-09-11","failed","2026-09-11","TestSmokeTest7Row6","test_smoke_test_7_row6","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤1：检查首页'] | 预期: 步骤1：显示Google地图、音频、Google助手三个区域","6954","系统UI - 燃油车首页","tests_scripts.桌面启动器","2026-09-11","failed","2026-09-11","TestSmokeTest3","test_smoke_test_3","",""
