"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","系统UI - 谷歌助手小部件生命周期","1","桌面启动器","0","0","系统UI - 谷歌助手小部件生命周期","0"
"0","设置 - 语言和关于","1","车辆设置","0","0","设置 - 语言和关于","0"
"0","多媒体 - AM收音机 - UI显示检查","0","收音机","1","0","多媒体 - AM收音机 - UI显示检查","0"
"0","系统UI - 地图搜索交互","0","桌面启动器","1","0","系统UI - 地图搜索交互","0"
"0","系统UI - 电话小部件显示与移除","0","桌面启动器","1","0","系统UI - 电话小部件显示与移除","0"
"0","系统UI - 点击日期和时间小部件进入设置","0","桌面启动器","1","0","系统UI - 点击日期和时间小部件进入设置","0"
"0","车辆设置","0","车辆设置","1","0","车辆设置","0"
"0","系统UI - 燃油车首页","0","桌面启动器","1","0","系统UI - 燃油车首页","0"
"0","系统UI - 窗口小部件编辑","1","桌面启动器","0","0","系统UI - 窗口小部件编辑","0"
"0","多媒体 - AM收音机 - 调谐频率","0","收音机","1","0","多媒体 - AM收音机 - 调谐频率","0"
"0","设置 - Wi-Fi - Wi-Fi偏好设置","0","车辆设置","1","0","设置 - Wi-Fi - Wi-Fi偏好设置","0"
"0","系统UI - 点击电话小部件进入设置","0","桌面启动器","1","0","系统UI - 点击电话小部件进入设置","0"
"0","车辆 - 座椅","0","车辆设置","1","0","车辆 - 座椅","0"
"0","系统UI - 音频小部件显示与移除","0","桌面启动器","1","0","系统UI - 音频小部件显示与移除","0"
"0","系统UI - 点击音频小部件进入设置","1","桌面启动器","0","0","系统UI - 点击音频小部件进入设置","0"
"0","系统UI - 导航和车辆小部件显示","0","桌面启动器","1","0","系统UI - 导航和车辆小部件显示","0"
"0","系统UI - 触发谷歌助手","0","桌面启动器","1","0","系统UI - 触发谷歌助手","0"
"0","系统UI - 左侧导航","0","桌面启动器","1","0","系统UI - 左侧导航","0"
"0","系统UI - 日期和时间小部件显示与生命周期","0","桌面启动器","1","0","系统UI - 日期和时间小部件显示与生命周期","0"
