"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"前置: 步骤0：adb正常连接，处于主页面 | 步骤: ['步骤0：点击左侧导航栏""Application""图标；验证目标页面', '步骤1：点击左侧导航栏"" Vehicle""图标；验证目标页面', '步骤2：点击左侧导航栏""Music""图标；验证目标页面', '步骤3：点击左侧导航栏""Phone icons""图标；验证目标页面'] | 预期: 步骤0：页面跳转到""Application""页面，显示所有应用：“PlayStore”，“Android Auto”，“Devices Manager”，“Audio”，“AM Radio”; 步骤1：页面跳转到"" Vehicle""页面,显示：“Live Data”,“Coaching”,; “Challenges”,“Driver Mode”,“Electric”，“Seats”，“My Driving”，“Driving Assistance”，“Vehicle”，“Reno Assistant”,“Settings”; 步骤2：页面跳转到Sources页面，显示""AM Radio"", “Bluetooth audio”, “News”, “Radio”,“USB”。; 步骤3：页面跳转到Phone connection页面，页面显示：“To complete your call,first connet your phone to your car via Bluetooth”。带有“Connect to Bluetooth”按钮","2036","系统UI - 左侧导航","tests_scripts.桌面启动器","2026-09-15","failed","2026-09-15","TestSmokeTest7","test_smoke_test_7","",""
"","0","test_smoke_test_7.1.py","","2026-09-15","failed","2026-09-15","","tests_scripts/桌面启动器/test_smoke_test_7.1","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤0：从屏幕右侧向左滑动，打开窗口小部件编辑界面', '步骤1：点击“Goolge助理”小部件将它添加在屏幕中，退出编辑界面并检查', '步骤2：点击首页的“Goolge助理”小部件', '步骤3：从屏幕右侧向左滑动，打开窗口小部件编辑界面，将“Goolge助理”小部件更换成其他小部件，退出编辑界面并检查'] | 预期: 步骤1：“Goolge助理”小部件立即添加到主页面; 步骤2：语音交互焦点（燃油图标和聆听状态）应出现在屏幕底部; 步骤3：“Goolge助理”小部件从主页移除","15051","系统UI - 谷歌助手小部件生命周期","tests_scripts.桌面启动器","2026-09-15","failed","2026-09-15","TestSmokeTest9","test_smoke_test_9","",""
"前置: 步骤0：adb正常连接，处于主页面 | 步骤: ['步骤0：检查Google map 小部件', '步骤1：从屏幕右侧向左滑动，打开窗口小部件编辑界面点击“Vehicle”小部件将它添加在屏幕中，退出编辑界面并检查', '步骤2：点击主页面“Vehicle”小部件'] | 预期: 步骤0：Google map 小部件默认显示; 步骤1：“Vehicle”小部件成功添加到主界面; 步骤2：系统进入“Vehicle”设置界面","0","系统UI - 导航和车辆小部件显示","tests_scripts.桌面启动器","2026-09-15","failed","2026-09-15","TestSmokeTest16","test_smoke_test_16","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤0：从屏幕右侧向左滑动，打开窗口小部件编辑界面', '步骤1：点击“电话”小部件将它添加在屏幕中，退出编辑界面并检查', '步骤2：从屏幕右侧向左滑动，打开窗口小部件编辑界面，将“电话”小部件更换成其他小部件，退出编辑界面并'] | 预期: 步骤1：“电话”小部件立即添加到主页面; 步骤2：“电话”小部件从主页面移除","6726","系统UI - 电话小部件显示与移除","tests_scripts.桌面启动器","2026-09-15","failed","2026-09-15","TestSmokeTest14","test_smoke_test_14","",""
"前置: 步骤0：车机正常启动，处于主页面; 步骤1：""音频""小部件已添加到主页面 | 步骤: ['步骤1：点击主界面上的""音频""小部件'] | 预期: 步骤1：系统进入设置页面，左侧导航栏音乐导航项变为蓝色（选中态）","0","系统UI - 点击音频小部件进入设置","tests_scripts.桌面启动器","2026-09-15","failed","2026-09-15","TestSmokeTest13","test_smoke_test_13","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤0：从屏幕右侧向左滑动，打开窗口小部件编辑界面', '步骤1：点击日期和时间小部件将它添加在屏幕中，退出编辑界面并检查', '步骤2：从屏幕右侧向左滑动，打开窗口小部件编辑界面，将日期和时间小部件更换成其他小部件，退出编辑界面并检查'] | 预期: 步骤1：“日期和时间”小部件立即添加到首页并显示数据; 步骤2：“日期和时间”小部件从主页移除","24391","系统UI - 日期和时间小部件显示与生命周期","tests_scripts.桌面启动器","2026-09-15","passed","2026-09-15","TestSmokeTest10","test_smoke_test_10","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤1：检查首页'] | 预期: 步骤1：显示Google地图、音频、Google助手三个区域","1332","系统UI - 燃油车首页","tests_scripts.桌面启动器","2026-09-15","passed","2026-09-15","TestSmokeTest3","test_smoke_test_3","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤0：点击左侧导航栏应用图标；验证目标页面', '步骤1：点击左侧导航栏车辆图标；验证目标页面', '步骤2：点击左侧导航栏音乐图标；验证目标页面', '步骤3：点击左侧导航栏电话图标；验证目标页面'] | 预期: 步骤0：页面跳转到应用页面，显示所有应用：“Play商店”，“Android Auto”，“设备管理器”，“收音机”，“AM收音机”; 步骤1：页面跳转到车辆页面,显示：“Live Data”,“Coaching”,; “Challenges”,“Driver Mode”,“电力”，“座位”，“My Driving”，“驾驶辅助”，“车辆”，“Reno Assistant”,“设置”; 步骤2：页面跳转到音乐源页面，显示“AM收音机”、“蓝牙音频”、“Google新闻”、“收音机”、“USB”,“Android Auto”; 步骤3：页面跳转到电话连接页面，页面显示：要完成通话，请先通过蓝牙将您的手机连接到汽车。带有“连接到蓝牙”按钮","122280","系统UI - 左侧导航","tests_scripts.桌面启动器","2026-09-15","failed","2026-09-15","TestSmokeTest7Row5","test_smoke_test_7_row5","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤1：返回主界面并点击主界面谷歌助手区域'] | 预期: 步骤1：语音交互焦点（燃油图标和聆听状态）应出现在屏幕底部","8572","系统UI - 触发谷歌助手","tests_scripts.桌面启动器","2026-09-15","failed","2026-09-15","TestSmokeTest6","test_smoke_test_6","",""
